Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-12-31,3.095,3.13,2.882,2.889,0.205,2.889,115576.0,177642.0
2014-12-30,3.168,3.178,3.079,3.094,0.105,3.094,71392.0,176314.0
2014-12-29,3.084,3.211,3.047,3.115,0.166,3.199,96031.0,169291.0
2014-12-26,3.067,3.098,2.973,3.007,0.023,3.007,47009.0,18683.0
2014-12-24,3.17,3.19,3.0,3.0,0.141,3.03,50883.0,22432.0
2014-12-23,3.171,3.234,3.098,3.135,0.027,3.171,90099.0,35986.0
2014-12-22,3.35,3.351,3.12,3.144,0.32,3.144,154679.0,49453.0
2014-12-19,3.661,3.677,3.444,3.464,0.178,3.464,120014.0,58896.0
2014-12-18,3.701,3.805,3.636,3.755,0.06,3.642,132941.0,72569.0
2014-12-17,3.621,3.724,3.614,3.702,0.083,3.702,96051.0,82885.0
2014-12-16,3.736,3.789,3.605,3.619,0.1,3.619,114152.0,95624.0
2014-12-15,3.93,3.936,3.699,3.719,0.076,3.719,139837.0,108398.0
2014-12-12,3.648,3.826,3.644,3.795,0.161,3.795,124556.0,129491.0
2014-12-11,3.716,3.778,3.614,3.634,0.072,3.634,168061.0,151099.0
2014-12-10,3.65,3.743,3.606,3.706,0.054,3.706,141138.0,179639.0
2014-12-09,3.62,3.709,3.608,3.652,0.057,3.652,146871.0,204666.0
2014-12-08,3.777,3.785,3.585,3.595,0.207,3.595,159073.0,229249.0
2014-12-05,3.676,3.824,3.664,3.802,0.153,3.802,162625.0,249906.0
2014-12-04,3.787,3.808,3.638,3.649,0.156,3.649,143648.0,257205.0
2014-12-03,3.863,3.866,3.757,3.805,0.069,3.805,131446.0,257182.0
2014-12-02,4.023,4.026,3.856,3.865,0.133,3.874,144384.0,258494.0
2014-12-01,3.975,4.041,3.928,4.005,0.081,4.007,195421.0,257719.0
2014-11-28,4.341,4.367,4.075,4.075,0.267,4.088,94594.0,260819.0
2014-11-26,4.438,4.529,4.33,4.355,0.048,4.355,131620.0,265779.0
2014-11-25,4.289,4.444,4.227,4.295,0.099,4.403,124330.0,265785.0
2014-11-24,4.047,4.158,4.006,4.075,0.115,4.151,77893.0,22627.0
2014-11-21,4.46,4.532,4.233,4.266,0.223,4.266,99809.0,30309.0
2014-11-20,4.408,4.503,4.25,4.489,0.118,4.489,221288.0,43530.0
2014-11-19,4.266,4.508,4.194,4.45,0.127,4.371,190952.0,60444.0
2014-11-18,4.303,4.336,4.149,4.244,0.097,4.244,213160.0,71679.0
2014-11-17,4.148,4.347,4.113,4.341,0.321,4.341,168227.0,81528.0
2014-11-14,3.978,4.074,3.931,4.01,0.043,4.02,158023.0,88923.0
2014-11-13,4.155,4.175,3.962,3.977,0.208,3.977,179356.0,105483.0
2014-11-12,4.218,4.227,4.143,4.185,0.062,4.185,147158.0,122942.0
2014-11-11,4.266,4.311,4.121,4.175,0.008,4.247,183391.0,136722.0
2014-11-10,4.509,4.544,4.246,4.255,0.157,4.255,185416.0,148167.0
2014-11-07,4.429,4.494,4.282,4.412,0.008,4.412,228871.0,159628.0
2014-11-06,4.209,4.457,4.111,4.404,0.21,4.404,257541.0,154283.0
2014-11-05,4.144,4.315,4.132,4.194,0.065,4.194,187960.0,157762.0
2014-11-04,4.041,4.179,4.029,4.065,0.083,4.129,192286.0,164159.0
2014-11-03,4.007,4.065,3.989,4.01,0.173,4.046,159394.0,166606.0
2014-10-31,3.858,3.955,3.835,3.873,0.046,3.873,159088.0,166759.0
2014-10-30,3.793,3.873,3.768,3.827,0.039,3.827,103384.0,165409.0
2014-10-29,3.746,3.849,3.696,3.78,0.057,3.788,161566.0,165418.0
2014-10-28,3.572,3.677,3.541,3.595,0.088,3.649,67900.0,19547.0
2014-10-27,3.62,3.644,3.547,3.57,0.062,3.561,52004.0,24911.0
2014-10-24,3.653,3.654,3.558,3.623,0.001,3.623,79996.0,39993.0
2014-10-23,3.662,3.683,3.59,3.622,0.037,3.622,136392.0,53262.0
2014-10-22,3.7,3.718,3.651,3.659,0.052,3.659,80639.0,61644.0
2014-10-21,3.652,3.716,3.631,3.66,0.041,3.711,96380.0,73323.0
2014-10-20,3.721,3.745,3.662,3.67,0.096,3.67,93142.0,78735.0
2014-10-17,3.817,3.817,3.715,3.76,0.03,3.766,95078.0,86669.0
2014-10-16,3.811,3.834,3.744,3.81,0.004,3.796,111486.0,96902.0
2014-10-15,3.836,3.857,3.764,3.78,0.016,3.8,105564.0,111784.0
2014-10-14,3.922,3.955,3.806,3.945,0.1,3.816,127018.0,119576.0
2014-10-13,3.836,3.927,3.82,3.916,0.057,3.916,123080.0,143135.0
2014-10-10,3.857,3.888,3.833,3.859,0.014,3.859,100289.0,157915.0
2014-10-09,3.861,3.941,3.815,3.845,0.01,3.845,184935.0,173537.0
2014-10-08,3.939,3.947,3.837,3.855,0.102,3.855,160091.0,188358.0
2014-10-07,3.914,3.968,3.866,3.905,0.059,3.957,161772.0,203396.0
2014-10-06,4.0,4.0,3.887,3.898,0.141,3.898,108359.0,205792.0
2014-10-03,3.96,4.047,3.945,3.97,0.107,4.039,99304.0,206861.0
2014-10-02,4.032,4.059,3.908,3.932,0.091,3.932,144803.0,214653.0
2014-10-01,4.13,4.184,4.017,4.02,0.098,4.023,115728.0,222083.0
2014-09-30,4.134,4.178,4.098,4.121,0.033,4.121,135411.0,232819.0
2014-09-29,4.032,4.162,4.011,4.155,0.125,4.154,134544.0,223426.0
2014-09-26,4.008,4.04,3.969,3.99,0.015,4.029,105736.0,226222.0
2014-09-25,3.895,3.974,3.823,3.865,0.06,3.971,97651.0,21287.0
2014-09-24,3.833,3.922,3.796,3.911,0.095,3.911,53948.0,27674.0
2014-09-23,3.852,3.903,3.813,3.816,0.034,3.816,76893.0,43237.0
2014-09-22,3.84,3.878,3.804,3.86,0.013,3.85,90329.0,59646.0
2014-09-19,3.908,3.922,3.834,3.837,0.073,3.837,87279.0,66149.0
2014-09-18,4.009,4.027,3.897,3.91,0.103,3.91,128760.0,90189.0
2014-09-17,3.991,4.04,3.96,4.013,0.018,4.013,112376.0,98266.0
2014-09-16,3.932,3.999,3.863,3.995,0.064,3.995,120033.0,108644.0
2014-09-15,3.841,3.952,3.839,3.931,0.074,3.931,142164.0,127733.0
2014-09-12,3.844,3.859,3.786,3.857,0.034,3.857,113188.0,136285.0
2014-09-11,3.954,3.963,3.809,3.823,0.131,3.823,154721.0,146941.0
2014-09-10,3.978,3.994,3.937,3.954,0.03,3.954,83536.0,155169.0
2014-09-09,3.887,4.016,3.853,3.984,0.108,3.984,183170.0,161637.0
2014-09-08,3.783,3.898,3.761,3.876,0.083,3.876,112296.0,170598.0
2014-09-05,3.838,3.848,3.781,3.793,0.026,3.793,75294.0,175161.0
2014-09-04,3.853,3.879,3.789,3.86,0.028,3.819,130989.0,179693.0
2014-09-03,3.891,3.917,3.829,3.847,0.043,3.847,114965.0,185087.0
2014-09-02,4.048,4.078,3.885,3.89,0.175,3.89,150473.0,192400.0
2014-08-29,4.056,4.085,4.012,4.065,0.021,4.065,77699.0,192435.0
2014-08-28,4.009,4.101,3.973,4.044,0.041,4.044,132250.0,189104.0
2014-08-27,3.973,4.032,3.932,3.945,0.054,4.003,141755.0,182711.0
2014-08-26,3.936,3.978,3.899,3.911,0.026,3.911,48330.0,15457.0
